Company Name,2018,2017,2016,2015
OXY,18934000,12508000,10090000,12480000
EOG,11287588,7544405,8704302,16693477
APC,12906000,10879000,8367000,9486000
APA,5792000,5238000,6360000,12249000
COP,38727000,29878000,23745000,30219000
PXD,9379000,5294000,3509000,2878000
